City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Tuktoyaktuk,90,CA,1620236737,86,69.4541,-133.0374,19.4,3.44
Adrar,2,MR,1620236738,14,20.5022,-10.0711,89.94,13.2
Española,1,US,1620236446,25,35.9911,-106.0806,70.0,6.91
Aksu,6,CN,1620236738,15,41.1231,80.2644,69.24,5.08
Port Elizabeth,0,ZA,1620236738,94,-33.918,25.5701,66.2,3.44
Avarua,75,CK,1620236738,88,-21.2078,-159.775,75.2,9.22
Jamestown,90,US,1620236739,87,42.097,-79.2353,46.0,8.05
Mar del Plata,90,AR,1620236739,58,-38.0023,-57.5575,57.99,11.5
Kaeo,6,NZ,1620236739,90,-35.1,173.7833,52.0,5.01
Rikitea,58,PF,1620236739,79,-23.1203,-134.9692,77.02,4.92
Puerto Ayora,20,EC,1620236740,69,-0.7393,-90.3518,82.4,13.8
Ushuaia,75,AR,1620236691,66,-54.8,-68.3,46.4,34.52
Juneau,90,US,1620236705,81,58.3019,-134.4197,44.6,3.44
Lethem,88,GY,1620236740,53,3.3803,-59.7968,87.94,3.71
Celestún,87,MX,1620236740,56,20.8667,-90.4,90.9,8.3
Port Augusta,100,AU,1620236741,76,-32.5,137.7667,51.8,5.75
Lavrentiya,4,RU,1620236741,74,65.5833,-171.0,19.63,3.18
Zhigansk,20,RU,1620236741,98,66.7697,123.3711,27.05,11.07
Busselton,63,AU,1620236741,98,-33.65,115.3333,54.0,0.85
Pachino,75,IT,1620236742,52,36.7186,15.0907,66.2,9.22
Pio IX,98,BR,1620236742,69,-6.8375,-40.5792,79.11,5.91
Albany,100,US,1620236561,89,42.6001,-73.9662,55.0,5.84
Sobolevo,100,RU,1620236742,84,54.4299,31.8996,50.14,8.32
Vardø,75,NO,1620236742,93,70.3705,31.1107,32.0,2.3
São José da Coroa Grande,52,BR,1620236743,70,-8.8978,-35.1478,81.63,8.16
Bathurst,73,AU,1620236743,92,-33.4166,149.5806,52.0,1.01
Padang,75,ID,1620236743,94,-0.9492,100.3543,77.0,2.3
Mandera,100,KE,1620236743,51,3.9366,41.867,87.71,10.8
Airai,42,TL,1620236744,76,-8.9266,125.4092,56.35,3.0
Gallup,1,US,1620236744,14,35.5281,-108.7426,71.6,16.11
Hermanus,96,ZA,1620236584,93,-34.4187,19.2345,61.0,4.0
Bambous Virieux,75,MU,1620236744,100,-20.3428,57.7575,78.01,3.44
Norman Wells,75,CA,1620236744,56,65.282,-126.8329,41.0,5.75
Valparaíso,0,CL,1620236745,49,-33.0393,-71.6273,69.8,11.5
Upernavik,77,GL,1620236745,77,72.7868,-56.1549,31.57,5.3
Tiznit Province,30,MA,1620236745,80,29.5833,-9.5,62.6,8.32
Stephenville,1,US,1620236745,32,32.2207,-98.2023,68.0,5.75
Nanortalik,57,GL,1620236746,54,60.1432,-45.2371,41.65,3.62
Paamiut,17,GL,1620236746,76,61.994,-49.6678,38.19,13.15
Souillac,75,MU,1620236746,100,-20.5167,57.5167,75.2,3.44
Khovd,50,MN,1620236746,38,48.0056,91.6419,46.17,1.9
San Cristobal,40,VE,1620236747,69,7.7669,-72.225,82.4,11.5
Cape Town,40,ZA,1620236467,82,-33.9258,18.4232,62.01,18.41
Auki,100,SB,1620236747,86,-8.7676,160.7034,77.47,2.53
New Norfolk,100,AU,1620236747,82,-42.7826,147.0587,52.0,1.25
Lüderitz,0,NA,1620236748,75,-26.6481,15.1594,63.21,23.96
Saint-Philippe,90,RE,1620236748,83,-21.3585,55.7679,78.8,3.44
Vaini,90,TO,1620236748,94,-21.2,-175.2,75.2,11.5
Hilo,90,US,1620236748,83,19.7297,-155.09,73.4,8.05
Atuona,26,PF,1620236749,76,-9.8,-139.0333,80.49,16.37
Sabang,100,ID,1620236749,78,5.8933,95.3214,81.75,14.74
Yellowknife,20,CA,1620236749,52,62.456,-114.3525,43.0,10.36
Faya,40,SA,1620236749,52,18.3851,42.4509,71.6,4.16
Tagusao,47,PH,1620236750,81,9.1924,117.8141,81.16,4.54
Canchungo,0,GW,1620236750,55,12.0672,-16.0333,89.6,8.05
Port Lincoln,100,AU,1620236750,62,-34.7333,135.8667,61.12,11.7
Kavieng,28,PG,1620236750,76,-2.5744,150.7967,82.67,6.38
Tasiilaq,75,GL,1620236751,74,65.6145,-37.6368,32.0,4.61
Qaanaaq,96,GL,1620236751,73,77.484,-69.3632,31.62,0.69
Santa Maria,90,BR,1620236751,100,-29.6842,-53.8069,57.2,8.05
Fomboni,100,KM,1620236751,67,-12.28,43.7425,80.58,19.04
Dikson,30,RU,1620236752,97,73.5069,80.5464,9.12,3.89
Fare,38,PF,1620236752,73,-16.7,-151.0167,82.6,13.22
Kamenka,40,RU,1620236752,56,51.3223,42.7678,52.0,6.8
Punta Arenas,0,CL,1620236543,71,-53.15,-70.9167,50.0,16.11
Bluff,59,NZ,1620236753,87,-46.6,168.3333,44.01,18.19
Barrow,90,US,1620236753,85,71.2906,-156.7887,12.2,6.91
Cabo San Lucas,1,MX,1620236753,36,22.8909,-109.9124,82.0,6.91
Abrau-Dyurso,0,RU,1620236753,62,44.69,37.59,53.6,8.95
Country Club,20,US,1620236709,45,25.9482,-80.317,91.0,12.66
Broken Hill,77,AU,1620236754,66,-31.95,141.4333,46.4,6.91
Mataura,20,NZ,1620236754,87,-46.1927,168.8643,44.01,2.15
Hithadhoo,52,MV,1620236754,65,-0.6,73.0833,84.43,3.18
Farnes,40,NO,1620236754,49,61.3167,7.8,42.8,8.05
Nizwá,88,OM,1620236755,27,22.9333,57.5333,87.91,4.9
Praia,20,CV,1620236755,57,14.9215,-23.5087,77.0,24.16
Hailar,11,CN,1620236755,75,49.2,119.7,37.49,5.14
Mjölby,90,SE,1620236755,93,58.326,15.1237,42.8,12.66
Fortuna,1,US,1620236756,94,40.5982,-124.1573,59.0,6.91
Constitución,0,CL,1620236756,63,-35.3333,-72.4167,64.56,8.1
Tabuk,52,PH,1620236756,85,17.4189,121.4443,75.54,4.27
Kahului,40,US,1620236756,78,20.8947,-156.47,73.4,12.66
Itarema,48,BR,1620236757,76,-2.9248,-39.9167,81.63,4.99
Hasaki,75,JP,1620236757,100,35.7333,140.8333,61.0,1.14
Give,90,DK,1620236757,87,55.8398,9.25,44.01,17.27
Bengkulu,100,ID,1620236678,92,-3.8004,102.2655,76.33,7.16
Esperance,31,AU,1620236758,88,-33.8667,121.9,59.0,11.5
Anadyr,0,RU,1620236758,40,64.75,177.4833,30.2,8.95
Ippy,64,CF,1620236758,76,6.2679,21.2247,73.22,3.15
Altay,97,CN,1620236758,30,47.8667,88.1167,55.72,7.7
Saint-Joseph,90,RE,1620236759,83,-21.3667,55.6167,78.8,3.44
Asău,56,RO,1620236759,54,46.4333,26.4,55.99,5.28
Kapaa,90,US,1620236759,88,22.0752,-159.319,73.99,17.27
Morón,57,AR,1620236759,42,-34.6534,-58.6198,61.0,5.01
Hobart,90,AU,1620236759,87,-42.8794,147.3294,52.0,9.22
Mahibadhoo,50,MV,1620236760,72,3.7833,72.9667,83.14,1.66
Oktyabr'skoye,99,RU,1620236760,76,43.0645,44.7417,51.8,11.18
Vicuña,0,CL,1620236760,31,-30.0319,-70.7081,70.0,6.2
Lázaro Cárdenas,0,MX,1620236760,47,17.9583,-102.2,84.63,9.62
Fayaoué,0,NC,1620236761,78,-20.65,166.5333,75.88,5.08
Ibrā’,72,OM,1620236761,41,22.6906,58.5334,84.83,12.46
Khasan,5,RU,1620236761,68,42.4308,130.6434,47.08,7.56
Kloulklubed,75,PW,1620236762,89,7.0419,134.2556,80.6,8.05
Deputatsky,100,RU,1620236762,98,69.3,139.9,21.09,3.22
Redlands,20,US,1620236762,24,34.0556,-117.1825,84.99,4.25
Pascagoula,90,US,1620236748,94,30.3658,-88.5561,71.6,5.21
Bredasdorp,100,ZA,1620236762,94,-34.5322,20.0403,60.8,17.27
Bethel,90,US,1620236508,88,41.3712,-73.414,55.99,0.89
Helong,1,CN,1620236763,29,42.5397,128.9972,51.64,11.23
Demyansk,99,RU,1620236763,95,57.643,32.466,43.79,4.47
Avanigadda,18,IN,1620236763,72,16.0215,80.9181,84.45,4.85
Myitkyina,91,MM,1620236764,97,25.3833,97.4,68.7,2.24
Kampene,95,CD,1620236764,95,-3.6,26.6667,69.12,0.74
Tarko-Sale,97,RU,1620236764,89,64.9225,77.785,32.02,15.05
Sharan,61,RU,1620236764,72,54.8167,54.0,42.35,12.39
Kemisē,98,ET,1620236765,87,10.7167,39.8667,67.53,3.33
Camacha,75,PT,1620236765,72,33.0833,-16.3333,64.4,11.5
Butaritari,90,KI,1620236765,78,3.0707,172.7902,83.19,19.53
Monrovia,40,LR,1620236765,84,6.3005,-10.7969,84.2,12.66
Dobryatino,90,RU,1620236766,94,55.5055,41.3195,45.5,6.46
Praia,20,CV,1620236581,57,14.9215,-23.5087,77.0,24.16
Narsaq,40,GL,1620236766,11,60.9167,-46.05,59.0,19.57
Kargil,57,IN,1620236766,66,34.5667,76.1,39.61,6.42
Hambantota,87,LK,1620236767,84,6.1241,81.1185,80.06,4.52
